,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,company,full_name
0,Swift Dzire VDI,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5,11,Maruti,Maruti Swift Dzire VDI
1,Rapid 1.5 TDI Ambition,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5,11,Skoda,Skoda Rapid 1.5 TDI Ambition
2,City 2017-2020 EXi,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5,19,Honda,Honda City 2017-2020 EXi
3,i20 Sportz Diesel,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5,15,Hyundai,Hyundai i20 Sportz Diesel
4,Swift VXI BSIII,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5,18,Maruti,Maruti Swift VXI BSIII
5,Xcent 1.2 VTVT E Plus,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5,8,Hyundai,Hyundai Xcent 1.2 VTVT E Plus
6,Wagon R LXI DUO BSIII,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5,18,Maruti,Maruti Wagon R LXI DUO BSIII
7,800 DX BSII,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4,24,Maruti,Maruti 800 DX BSII
8,Etios VXD,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5,14,Toyota,Toyota Etios VXD
9,Figo Diesel Celebration Edition,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5,12,Ford,Ford Figo Diesel Celebration Edition
10,Duster 110PS Diesel RxL,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5,11,Renault,Renault Duster 110PS Diesel RxL
11,Zen LX,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5,20,Maruti,Maruti Zen LX
12,Swift Dzire VDi,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5,16,Maruti,Maruti Swift Dzire VDi
13,Wagon R LXI Minor,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5,16,Maruti,Maruti Wagon R LXI Minor
14,KUV 100 mFALCON G80 K8 5str,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5,9,Mahindra,Mahindra KUV 100 mFALCON G80 K8 5str
15,Ertiga SHVS VDI,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7,9,Maruti,Maruti Ertiga SHVS VDI
16,i20 1.4 CRDi Asta,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5,13,Hyundai,Hyundai i20 1.4 CRDi Asta
17,Alto LX,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,23,Maruti,Maruti Alto LX
18,i20 2015-2017 Asta 1.4 CRDi,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5,9,Hyundai,Hyundai i20 2015-2017 Asta 1.4 CRDi
19,Verito 1.5 D4 BSIII,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5,14,Mahindra,Mahindra Verito 1.5 D4 BSIII
20,WR-V i-DTEC VX,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5,8,Honda,Honda WR-V i-DTEC VX
21,Swift Dzire ZDI,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5,10,Maruti,Maruti Swift Dzire ZDI
22,SX4 ZDI,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5,13,Maruti,Maruti SX4 ZDI
23,Tigor 2017-2020 XZ,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5,7,Tata,Tata Tigor 2017-2020 XZ
24,Baleno Delta 1.2,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,9,Maruti,Maruti Baleno Delta 1.2
25,Alto 800 LXI,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5,8,Maruti,Maruti Alto 800 LXI
26,Enjoy TCDi LTZ 7 Seater,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7,12,Chevrolet,Chevrolet Enjoy TCDi LTZ 7 Seater
27,Wagon R LXI Minor,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5,16,Maruti,Maruti Wagon R LXI Minor
28,Omni E MPI STD BS IV,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8,7,Maruti,Maruti Omni E MPI STD BS IV
29,Vitara Brezza LDi Option,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,8,Maruti,Maruti Vitara Brezza LDi Option
30,Omni 8 Seater BSIV,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5,13,Maruti,Maruti Omni 8 Seater BSIV
31,i20 1.2 Asta Dual Tone,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5,7,Hyundai,Hyundai i20 1.2 Asta Dual Tone
32,Vitara Brezza LDi,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,8,Maruti,Maruti Vitara Brezza LDi
33,Alto 800 CNG LXI Optional,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4,6,Maruti,Maruti Alto 800 CNG LXI Optional
34,Alto K10 VXI Airbag,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5,6,Maruti,Maruti Alto K10 VXI Airbag
35,Verna VTVT 1.6 SX Option,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5,6,Hyundai,Hyundai Verna VTVT 1.6 SX Option
36,GO D,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5,9,Datsun,Datsun GO D
37,Safari DICOR 2.2 LX 4x2,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7,14,Tata,Tata Safari DICOR 2.2 LX 4x2
38,800 Std,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4,13,Maruti,Maruti 800 Std
39,Compass 1.4 Limited Plus BSIV,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5,6,Jeep,Jeep Compass 1.4 Limited Plus BSIV
40,City i VTEC VX,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5,7,Honda,Honda City i VTEC VX
41,City V MT,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5,12,Honda,Honda City V MT
42,Swift Dzire VXi AT,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5,7,Maruti,Maruti Swift Dzire VXi AT
43,Vitara Brezza VDi,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5,7,Maruti,Maruti Vitara Brezza VDi
44,Alto K10 VXI,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5,7,Maruti,Maruti Alto K10 VXI
